epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60099,0.90456,3.13031,1.4258,0.00384,0.97222,0.24122,0.17822,0.3561,2.99578,1.05611,0.00012861,0.00012861,0.00012861
2,6.31422,0.40206,2.63977,1.08763,0.00372,1,0.69395,0.56658,0.4751,2.92276,1.10387,0.000268822,0.000268822,0.000268822
3,8.01318,0.45731,2.18808,1.1286,0.0046,1,0.73014,0.57806,0.50866,2.82565,1.12844,0.000406205,0.000406205,0.000406205
4,9.64817,0.44728,1.7765,1.07735,0.0038,0.98246,0.60734,0.5049,0.53315,2.51478,1.15018,0.000540758,0.000540758,0.000540758
5,11.292,0.47598,1.40604,1.07812,0.75889,0.32495,0.59514,0.30407,1.36903,2.18255,2.48742,0.000672482,0.000672482,0.000672482
6,12.902,0.4825,1.29241,1.07761,0.80317,0.55871,0.63026,0.503,0.81154,1.70352,1.4564,0.000801376,0.000801376,0.000801376
7,14.4639,0.48564,1.07865,1.08724,0.52587,0.71391,0.56536,0.38311,1.46458,2.03093,2.42987,0.000927441,0.000927441,0.000927441
8,16.0569,0.45672,1.00859,1.07289,0.47491,0.64068,0.45988,0.27078,2.24688,3.57326,3.2455,0.00105068,0.00105068,0.00105068
9,17.6169,0.47028,1.01313,1.08412,0.4766,0.63258,0.43498,0.28329,0.96785,2.91086,1.87716,0.00117108,0.00117108,0.00117108
10,19.1779,0.46083,0.92938,1.06798,0.54377,0.69577,0.5541,0.24937,1.56431,2.49056,2.2241,0.00128866,0.00128866,0.00128866
11,20.7235,0.50217,0.9577,1.10556,0.58201,0.74349,0.70161,0.45654,1.09881,1.93106,1.8572,0.00128753,0.00128753,0.00128753
12,22.2597,0.48307,0.9388,1.08639,0.60129,0.80474,0.72921,0.51633,0.74015,1.96078,1.59046,0.00127338,0.00127338,0.00127338
13,23.7739,0.43828,0.85656,1.03433,0.49887,0.62759,0.52875,0.34819,1.16123,2.79885,1.91887,0.00125923,0.00125923,0.00125923
14,25.295,0.48201,0.91062,1.06419,0.52995,0.71138,0.53853,0.28369,1.54688,4.5847,2.16097,0.00124509,0.00124509,0.00124509
15,26.8104,0.46329,0.96204,1.09452,0.71873,0.82972,0.89262,0.71357,0.67125,1.56991,1.39014,0.00123094,0.00123094,0.00123094
16,28.3408,0.45861,0.88656,1.07699,0.64392,0.66241,0.68343,0.47909,0.90008,2.03383,1.50101,0.00121679,0.00121679,0.00121679
17,29.891,0.49514,0.91403,1.07773,0.68999,0.58655,0.65041,0.35328,1.64118,3.03488,2.15093,0.00120265,0.00120265,0.00120265
18,31.4309,0.39962,0.807,1.04108,0.73273,0.80821,0.80564,0.59624,0.86405,1.64352,1.78016,0.0011885,0.0011885,0.0011885
19,32.927,0.42137,0.82471,1.05048,0.72799,0.92832,0.80553,0.54015,0.81973,1.88962,1.64601,0.00117435,0.00117435,0.00117435
20,34.4469,0.45527,0.80943,1.09136,0.49736,0.56537,0.60014,0.39796,1.34836,2.26329,2.19606,0.00116021,0.00116021,0.00116021
21,35.9398,0.41582,0.83675,1.07109,0.44624,0.81862,0.68862,0.5384,0.65332,2.00345,1.25827,0.00114606,0.00114606,0.00114606
22,37.4521,0.40807,0.75996,1.06284,0.96433,0.87966,0.96089,0.74222,0.64701,1.13575,1.38387,0.00113191,0.00113191,0.00113191
23,39.033,0.41561,0.73984,1.04409,0.85287,0.96326,0.96027,0.73562,0.8111,1.15553,1.59481,0.00111776,0.00111776,0.00111776
24,40.5699,0.4222,0.67553,1.03927,0.91114,0.95468,0.94562,0.71749,0.73164,1.11005,1.47055,0.00110362,0.00110362,0.00110362
25,42.1058,0.44559,0.74856,1.03562,0.81803,0.90936,0.87022,0.60586,0.7038,1.2806,1.30716,0.00108947,0.00108947,0.00108947
26,43.6398,0.42609,0.7111,1.04502,0.81627,0.94192,0.89114,0.7321,0.66797,1.05674,1.31268,0.00107532,0.00107532,0.00107532
27,45.163,0.38885,0.65685,1.01953,0.83837,0.92824,0.91347,0.69945,0.73416,1.14475,1.46402,0.00106118,0.00106118,0.00106118
28,46.6999,0.42268,0.66666,1.04556,0.74142,0.85282,0.8897,0.49561,1.10153,1.47288,1.7954,0.00104703,0.00104703,0.00104703
29,48.257,0.41652,0.68252,1.04582,0.75167,0.71247,0.80788,0.50579,0.83816,1.45823,1.53658,0.00103288,0.00103288,0.00103288
30,49.8399,0.38195,0.64229,1.01548,0.80406,0.89464,0.8794,0.67914,0.76472,1.34641,1.53809,0.00101873,0.00101873,0.00101873
31,51.4098,0.38992,0.62407,1.03724,0.80773,0.93171,0.84346,0.72787,0.64634,1.05562,1.41916,0.00100459,0.00100459,0.00100459
32,53.0498,0.35942,0.58821,0.9983,0.82538,0.90431,0.84501,0.66403,0.79888,1.19341,1.39741,0.00099044,0.00099044,0.00099044
33,54.6438,0.3733,0.6042,0.99695,0.85078,0.95215,0.93141,0.71723,0.78873,1.24947,1.34675,0.000976293,0.000976293,0.000976293
34,56.2041,0.36658,0.59712,1.01869,0.9025,0.95094,0.96079,0.75498,0.57402,0.90408,1.30746,0.000962146,0.000962146,0.000962146
35,57.8145,0.36603,0.62918,1.01364,0.72865,0.91371,0.95669,0.81582,0.50251,1.12403,1.24026,0.000947999,0.000947999,0.000947999
36,59.479,0.36548,0.61694,1.03899,0.7817,0.73189,0.71932,0.58651,0.49493,1.18163,1.08485,0.000933851,0.000933851,0.000933851
37,61.0787,0.35617,0.56998,1.00024,0.64241,0.7508,0.65636,0.55648,0.5553,1.45749,1.12209,0.000919704,0.000919704,0.000919704
38,62.6698,0.39294,0.59699,1.03251,0.88613,0.85372,0.91102,0.72872,0.58653,0.90415,1.22811,0.000905557,0.000905557,0.000905557
39,64.2409,0.3391,0.56154,0.97509,0.8159,0.81875,0.86255,0.64579,0.69496,1.27157,1.27767,0.00089141,0.00089141,0.00089141
40,65.8113,0.35153,0.54862,0.98884,0.96196,0.94954,0.97222,0.83252,0.512,0.74533,1.17457,0.000877263,0.000877263,0.000877263
41,67.3845,0.3293,0.52839,0.97216,0.95085,0.94676,0.95681,0.81592,0.5465,0.67514,1.25076,0.000863116,0.000863116,0.000863116
42,68.979,0.352,0.54609,0.98997,0.90097,0.91582,0.95438,0.80653,0.53718,0.77752,1.231,0.000848969,0.000848969,0.000848969
43,70.5439,0.36592,0.57611,1.00324,0.71239,0.94326,0.93057,0.77015,0.60902,1.10229,1.29035,0.000834822,0.000834822,0.000834822
44,72.1419,0.32853,0.49824,0.97294,0.88295,0.84506,0.91691,0.76385,0.52203,1.03557,1.20869,0.000820675,0.000820675,0.000820675
45,73.6819,0.34044,0.49828,1.00065,0.97747,0.90697,0.96783,0.80975,0.48435,0.80161,1.16383,0.000806528,0.000806528,0.000806528
46,75.2419,0.32914,0.53619,0.97684,0.89212,0.8756,0.93455,0.80497,0.52424,0.75225,1.18658,0.00079238,0.00079238,0.00079238
47,76.8169,0.33642,0.48786,0.98474,0.84879,0.84786,0.91026,0.75646,0.55829,0.86304,1.17346,0.000778233,0.000778233,0.000778233
48,78.3951,0.34963,0.48383,0.98635,0.8415,0.85355,0.8967,0.78723,0.48922,0.72064,1.16948,0.000764086,0.000764086,0.000764086
49,79.9999,0.3334,0.48911,0.9868,0.82566,0.88981,0.90819,0.80977,0.50819,0.68269,1.21502,0.000749939,0.000749939,0.000749939
50,81.5549,0.32943,0.48279,0.98536,0.82693,0.86377,0.89857,0.79733,0.52358,0.69175,1.2066,0.000735792,0.000735792,0.000735792
51,83.0798,0.32964,0.50337,0.99143,0.83806,0.91162,0.93224,0.81175,0.51852,0.69749,1.1698,0.000721645,0.000721645,0.000721645
52,84.611,0.31394,0.46693,0.96842,0.70619,0.90801,0.88349,0.75617,0.53376,1.0406,1.18046,0.000707498,0.000707498,0.000707498
53,86.1399,0.33314,0.49809,0.98942,0.71647,0.90967,0.78396,0.64672,0.49376,1.23826,1.09418,0.000693351,0.000693351,0.000693351
54,87.666,0.33438,0.46291,1.00263,0.94712,0.94192,0.95895,0.80564,0.53821,0.79115,1.16633,0.000679204,0.000679204,0.000679204
